dashboard_title,current_guess,guessed_type,flights,first_flight,last_flight,stated_purposes,sample_locations,dashboard_url,agency_id
AEP ED TFS Line East Drone Flights,AEP ED TFS Line East,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/78367bc1ae0944a9b47fe179a13f5c5f,aep-ed-tfs-line-east
Alsip Police Department (IL) Drone Flights,Alsip Police Department,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/6b1a7b24351f4d399fa2513569c85aa0,alsip-pd-il
Austintown Fire Department (OH) Drone Flights,Austintown Fire Department,fire_ems,0,,,,,https://www.arcgis.com/apps/dashboards/cec559ab9a04433db43889b30156cedc,austintown-fire-department-oh
Bradley County Sheriff's Office Cleveland (TN) Drone Flights,Bradley County Sheriff's Office Cleveland,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/4bc15e35dc5c400c8a8071ce99299f00,bradley-county-so-cleveland-tn
Columbus GA - Skydio DFR Day Drone Flights,Columbus GA - Skydio DFR Day,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/e4ff0fb1f5d841b78cbc70a428ead7c2,columbus-ga-skydio-dfr-day
Columbus Police Department (GA) Drone Flights,Columbus Police Department,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/c7aa4ac739d24a71ba7975dbefef6e2f,columbus-pd-ga
Dare County Sheriffs Office (NC) Drone Flights,Dare County Sheriffs Office,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/919acc68c84a403cb76bac08a8198e02,dare-county-so-nc
Elgin Police Department DOCK TRIAL Drone Flights,Elgin Police Department DOCK TRIAL,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/1aac882182574327b7e7179fce6169a4,elgin-pd-dock-trial
Eustis Police Department (FL) Drone Flights,Eustis Police Department,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/b6be64b9a1624c30a9aebbcd9b26cdc8,eustis-pd-fl
Huntington Beach Police Department Drone Flights,Huntington Beach Police Department,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/c3be19afce314574baf793eae5ec373d,huntington-beach-pd
JEA Drone Flights,JEA,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/d93918edbd9844dea5a830bd3fea2e85,jea
JP-JIW-X10 Drone Flights,JP-JIW-X10,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/73f87287920848c69def5a2c5ad25ffb,jp-jiw-x10
JP-Kajima-Kanto Drone Flights,JP-Kajima-Kanto,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/41ace93a98084961b762d01ad41c0ae6,jp-kajima-kanto
Long Beach Township Drone Flights,Long Beach Township,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/5291bfae11f043798590a5cdb84f1090,long-beach-township
Marion County Fire Rescue Drone Flights,Marion County Fire Rescue,fire_ems,0,,,,,https://www.arcgis.com/apps/dashboards/be153db7fcb845479879f6c0d39115a5,marion-county-fire-rescue
Michigan State Police (MI) Drone Flights,Michigan State Police,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/d6ebfc8722df40229414ca9d3465712b,michigan-state-police-mi
NOAA - Lakeland Drone Flights,NOAA - Lakeland,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/8c84418547e54eaf97d77573c9756e5a,noaa-lakeland
Odessa Police & Fire Departments (TX) Drone Flights,Odessa Police & Fire Departments,fire_ems,0,,,,,https://www.arcgis.com/apps/dashboards/203f2a50944a4f72acf412853024ad89,odessa-police-fire-departments-tx
Olathe Police Department (KS) UAS Flights,Olathe Police Department,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/8de565bc7f6d4acf923119d4c0937ca3,olathe-pd-ks
Ontario Police Department (CA) Drone Flights,Ontario Police Department,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/2928687a9e6d4966b4b46304bca4a3e1,ontario-pd-ca
Skydio Fire Service Working Group,Skydio Fire Service Working Group,fire_ems,0,,,,,https://www.arcgis.com/apps/dashboards/f45511bf92c24d648e58aff4270532a6,skydio-fire-service-working-group
Surprise Police Department (AZ) Drone Flights,Surprise Police Department,law_enforcement,0,,,,,https://www.arcgis.com/apps/dashboards/f89e86d870dd450fb58715bf24b58a49,surprise-pd-az
Suwannee County Drone Department Drone Flights,Suwannee County Drone Department,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/c7c43160a88f474aacb38fd9e6625ab9,suwannee-county-drone-department
University of Connecticut T2 Center Drone Flights,University of Connecticut T2 Center,university,0,,,,,https://www.arcgis.com/apps/dashboards/569d8c9db1bb4d14badaae86a369265f,university-of-connecticut-t2-center
USAF -  87 ABW sUAS Agency - JB McGuire-Dix-Lakehurst Drone Flights,USAF - 87 ABW sUAS Agency - JB McGuire-Dix-Lakehurst,corporate_utility,0,,,,,https://www.arcgis.com/apps/dashboards/b6b34c3e68fb4e78894f9fe13cdfd0e4,usaf-87-abw-suas-agency-jb-mcguire-dix-lakehurst
